유무,번호,역사,카메라 이름,NVR IP,Port,UUID,채널번호,RTSP URL,ID,PW,TYPE,용도
0,1,101,PSD-U1-1,7.101.3.22,4515,test-uuid,,rtsp://admin:asdQWE12!@@7.101.3.22:4515/test-uuid/2/media.smp,admin,asdQWE12!@,,
0,2,101,PSD-U1-2,7.101.3.22,4515,test-uuid,,rtsp://admin:asdQWE12!@@7.101.3.22:4515/test-uuid/2/media.smp,admin,asdQWE12!@,,
0,3,101,PSD-U2-1,7.101.3.22,4515,test-uuid,,rtsp://admin:asdQWE12!@@7.101.3.22:4515/test-uuid/2/media.smp,admin,asdQWE12!@,,
0,4,101,PSD-U2-2,7.101.3.22,4515,test-uuid,,rtsp://admin:asdQWE12!@@7.101.3.22:4515/test-uuid/2/media.smp,admin,asdQWE12!@,,
0,5,101,PSD-D1-1,7.101.3.22,4515,test-uuid,,rtsp://admin:asdQWE12!@@7.101.3.22:4515/test-uuid/2/media.smp,admin,asdQWE12!@,,
0,6,101,PSD-D1-2,7.101.3.22,4515,test-uuid,,rtsp://admin:asdQWE12!@@7.101.3.22:4515/test-uuid/2/media.smp,admin,asdQWE12!@,,
0,7,101,PSD-D2-1,7.101.3.22,4515,test-uuid,,rtsp://admin:asdQWE12!@@7.101.3.22:4515/test-uuid/2/media.smp,admin,asdQWE12!@,,
0,8,101,PSD-D2-2,7.101.3.22,4515,test-uuid,,rtsp://admin:asdQWE12!@@7.101.3.22:4515/test-uuid/2/media.smp,admin,asdQWE12!@,,
0,9,101,PSD-M1-1,7.101.3.22,4515,test-uuid,,rtsp://admin:asdQWE12!@@7.101.3.22:4515/test-uuid/2/media.smp,admin,asdQWE12!@,,
0,10,101,PSD-M1-2,7.101.3.22,4515,test-uuid,,rtsp://admin:asdQWE12!@@7.101.3.22:4515/test-uuid/2/media.smp,admin,asdQWE12!@,,
0,11,101,PSD-M2-2,7.101.3.22,4515,test-uuid,,rtsp://admin:asdQWE12!@@7.101.3.22:4515/test-uuid/2/media.smp,admin,asdQWE12!@,,
0,12,101,P-U1,7.101.3.22,4515,test-uuid,2,rtsp://admin:asdQWE12!@@7.101.3.22:4515/test-uuid/2/media.smp,admin,asdQWE12!@,"DR,FT","쓰러짐, 싸움 감시"
0,13,101,P-U2,7.101.3.22,4515,test-uuid,2,rtsp://admin:asdQWE12!@@7.101.3.22:4515/test-uuid/2/media.smp,admin,asdQWE12!@,"DR,FT","쓰러짐, 싸움 감시"
0,14,101,P-U3,7.101.3.22,4515,test-uuid,2,rtsp://admin:asdQWE12!@@7.101.3.22:4515/test-uuid/2/media.smp,admin,asdQWE12!@,"DR,FT","쓰러짐, 싸움 감시"
0,15,101,P-U4,7.101.3.22,4515,test-uuid,2,rtsp://admin:asdQWE12!@@7.101.3.22:4515/test-uuid/2/media.smp,admin,asdQWE12!@,"DR,FT","쓰러짐, 싸움 감시"
0,16,101,P-D1,7.101.3.22,4515,test-uuid,2,rtsp://admin:asdQWE12!@@7.101.3.22:4515/test-uuid/2/media.smp,admin,asdQWE12!@,"DR,FT","쓰러짐, 싸움 감시"
0,17,101,P-D2,7.101.3.22,4515,test-uuid,2,rtsp://admin:asdQWE12!@@7.101.3.22:4515/test-uuid/2/media.smp,admin,asdQWE12!@,"DR,FT","쓰러짐, 싸움 감시"
0,18,101,P-D3,7.101.3.22,4515,test-uuid,2,rtsp://admin:asdQWE12!@@7.101.3.22:4515/test-uuid/2/media.smp,admin,asdQWE12!@,"DR,FT","쓰러짐, 싸움 감시"
0,19,101,P-D4,7.101.3.22,4515,test-uuid,2,rtsp://admin:asdQWE12!@@7.101.3.22:4515/test-uuid/2/media.smp,admin,asdQWE12!@,"DR,FT","쓰러짐, 싸움 감시"
,20,101,상선 출입구(상행),7.101.3.22,4515,test-uuid,,rtsp://admin:asdQWE12!@@7.101.3.22:4515/test-uuid/2/media.smp,admin,asdQWE12!@,,
0,21,101,상선 출입구(하행),7.101.3.22,4515,test-uuid,2,rtsp://admin:asdQWE12!@@7.101.3.22:4515/test-uuid/2/media.smp,admin,asdQWE12!@,"DR,FT","쓰러짐, 싸움, 침입 감시"
